,base_estimator__criterion,base_estimator__max_depth,base_estimator__max_features,learning_rate,loss,n_estimators,random_state,0
294,friedman_mse,10,sqrt,0.0001,square,2500,88,-13.434607892638732
295,friedman_mse,10,sqrt,0.0002,square,500,88,-13.440622745726381
296,friedman_mse,10,sqrt,0.0002,square,1000,88,-13.435717202650315
297,friedman_mse,10,sqrt,0.0002,square,1500,88,-13.437123010219295
298,friedman_mse,10,sqrt,0.0002,square,2000,88,-13.438096049664967
299,friedman_mse,10,sqrt,0.0002,square,2500,88,-13.440010419376728
300,friedman_mse,11,sqrt,5e-05,square,500,88,-13.450354903243158
301,friedman_mse,11,sqrt,5e-05,square,1000,88,-13.450070325495876
302,friedman_mse,11,sqrt,5e-05,square,1500,88,-13.441003256644976
303,friedman_mse,11,sqrt,5e-05,square,2000,88,-13.43946771324985
304,friedman_mse,11,sqrt,5e-05,square,2500,88,-13.442311704815756
305,friedman_mse,11,sqrt,0.0001,square,500,88,-13.449931537156228
306,friedman_mse,11,sqrt,0.0001,square,1000,88,-13.447326283977356
307,friedman_mse,11,sqrt,0.0001,square,1500,88,-13.447380441238684
308,friedman_mse,11,sqrt,0.0001,square,2000,88,-13.447505301332225
309,friedman_mse,11,sqrt,0.0001,square,2500,88,-13.445518091118652
310,friedman_mse,11,sqrt,0.0002,square,500,88,-13.443951536143132
311,friedman_mse,11,sqrt,0.0002,square,1000,88,-13.443472548836656
312,friedman_mse,11,sqrt,0.0002,square,1500,88,-13.440756148922807
313,friedman_mse,11,sqrt,0.0002,square,2000,88,-13.440808243983744
314,friedman_mse,11,sqrt,0.0002,square,2500,88,-13.4412321769835
315,friedman_mse,12,sqrt,5e-05,square,500,88,-13.43411771085276
316,friedman_mse,12,sqrt,5e-05,square,1000,88,-13.443557463589851
317,friedman_mse,12,sqrt,5e-05,square,1500,88,-13.441438285766782
318,friedman_mse,12,sqrt,5e-05,square,2000,88,-13.43968468310275
319,friedman_mse,12,sqrt,5e-05,square,2500,88,-13.44374548382584
320,friedman_mse,12,sqrt,0.0001,square,500,88,-13.446348678065485
321,friedman_mse,12,sqrt,0.0001,square,1000,88,-13.449014979831423
322,friedman_mse,12,sqrt,0.0001,square,1500,88,-13.452822089984409
323,friedman_mse,12,sqrt,0.0001,square,2000,88,-13.447031728630156
324,friedman_mse,12,sqrt,0.0001,square,2500,88,-13.447557813203904
325,friedman_mse,12,sqrt,0.0002,square,500,88,-13.440701400002633
326,friedman_mse,12,sqrt,0.0002,square,1000,88,-13.443399956925328
327,friedman_mse,12,sqrt,0.0002,square,1500,88,-13.439099414207224
328,friedman_mse,12,sqrt,0.0002,square,2000,88,-13.442085029209697
329,friedman_mse,12,sqrt,0.0002,square,2500,88,-13.442952997574512
330,friedman_mse,13,sqrt,5e-05,square,500,88,-13.458414938030762
331,friedman_mse,13,sqrt,5e-05,square,1000,88,-13.459246115963136
332,friedman_mse,13,sqrt,5e-05,square,1500,88,-13.452388322969014
333,friedman_mse,13,sqrt,5e-05,square,2000,88,-13.451467943374928
334,friedman_mse,13,sqrt,5e-05,square,2500,88,-13.450473553988164
335,friedman_mse,13,sqrt,0.0001,square,500,88,-13.441174550838138
336,friedman_mse,13,sqrt,0.0001,square,1000,88,-13.45142650516074
337,friedman_mse,13,sqrt,0.0001,square,1500,88,-13.446651492000882
338,friedman_mse,13,sqrt,0.0001,square,2000,88,-13.452760714024299
339,friedman_mse,13,sqrt,0.0001,square,2500,88,-13.45046341944797
340,friedman_mse,13,sqrt,0.0002,square,500,88,-13.462402389615292
341,friedman_mse,13,sqrt,0.0002,square,1000,88,-13.455744508395085
342,friedman_mse,13,sqrt,0.0002,square,1500,88,-13.45265061095439
343,friedman_mse,13,sqrt,0.0002,square,2000,88,-13.453191536947937
344,friedman_mse,13,sqrt,0.0002,square,2500,88,-13.452974103196482
345,friedman_mse,14,sqrt,5e-05,square,500,88,-13.470430137700717
346,friedman_mse,14,sqrt,5e-05,square,1000,88,-13.455562885847044
347,friedman_mse,14,sqrt,5e-05,square,1500,88,-13.450918721689893
348,friedman_mse,14,sqrt,5e-05,square,2000,88,-13.453259373803292
349,friedman_mse,14,sqrt,5e-05,square,2500,88,-13.455186519082257
350,friedman_mse,14,sqrt,0.0001,square,500,88,-13.452882940721901
351,friedman_mse,14,sqrt,0.0001,square,1000,88,-13.453024417813978
352,friedman_mse,14,sqrt,0.0001,square,1500,88,-13.450683249380878
353,friedman_mse,14,sqrt,0.0001,square,2000,88,-13.44988039897135
354,friedman_mse,14,sqrt,0.0001,square,2500,88,-13.452925141639048
355,friedman_mse,14,sqrt,0.0002,square,500,88,-13.441831541345096
356,friedman_mse,14,sqrt,0.0002,square,1000,88,-13.453965329934073
357,friedman_mse,14,sqrt,0.0002,square,1500,88,-13.450782759297363
358,friedman_mse,14,sqrt,0.0002,square,2000,88,-13.451788295419854
359,friedman_mse,14,sqrt,0.0002,square,2500,88,-13.454185717050825
